Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 13, 20, 2095, 73, 1081, 68, 15.89, 0, 0, 7, 2, 6/21, 12/79
ADG Matthews, South; England; Northamptonshire; HDG Leveson-Gower's XI; Glamorgan; Royal Air Force, 17, 25, 2919, 134, 1142, 53, 21.54, 0, 0, 3, 0, 5/70, 6/115
EW Clark, Northamptonshire; LH Tennyson's XI; England; Marylebone Cricket Club; Players; The Rest; North, 14, 21, 2106, 93, 773, 42, 18.4, 0, 0, 3, 0, 6/29, 8/135
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 9, 13, 1360, 43, 636, 31, 20.51, 0, 0, 2, 1, 7/23, 10/49
AE Thomas, Northamptonshire; Wales; Players, 9, 15, 2234, 144, 688, 29, 23.72, 0, 0, 2, 0, 5/49, 7/104
FH Tyson, Commonwealth XI; TN Pearce's XI; Northamptonshire; Marylebone Cricket Club; Players; England XI; North; England; The Rest; EW Swanton's XI, 7, 11, 933, 44, 360, 28, 12.85, 0, 0, 4, 0, 6/67, 8/48
BS Crump, AER Gilligan's XI; Northamptonshire; Marylebone Cricket Club; Players, 8, 12, 1291, 55, 510, 26, 19.61, 0, 0, 2, 0, 5/55, 8/104
V Broderick, The Rest; North; Under 30; Marylebone Cricket Club; Northamptonshire; Sir PF Warner's XI, 9, 12, 977, 53, 404, 25, 16.16, 0, 0, 2, 1, 7/29, 13/60
AF Wensley, Sussex; Players; Auckland; Jam Sahib of Jamnagar's XI; Nawanagar; Europeans, 3, 6, 828, 28, 395, 24, 16.45, 0, 0, 3, 1, 8/118, 14/211
RJ Partridge, Northamptonshire; Royal Air Force; M Leyland's XI; North, 16, 22, 1717, 56, 872, 22, 39.63, 0, 0, 0, 0, 3/48, 4/95
RW Clarke, Northamptonshire; Under 32; South; North; Marylebone Cricket Club, 8, 12, 1211, 57, 468, 21, 22.28, 0, 0, 3, 0, 8/26, 8/63
JDF Larter, TN Pearce's XI; Marylebone Cricket Club Australian Touring Team; Northamptonshire; England; England XI; Marylebone Cricket Club; Players; International XI, 6, 10, 944, 43, 452, 21, 21.52, 0, 0, 1, 0, 5/72, 8/99
